name,class,center_x,center_y,width,height
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,10.0,0.2763671875,0.16690962099125364,0.05810546875,0.10860058309037901
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,7.0,0.44384765625,0.43002915451895046,0.0595703125,0.1392128279883382
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,8.0,0.166015625,0.3053935860058309,0.076171875,0.20481049562682216
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,11.0,0.34716796875,0.15014577259475217,0.06298828125,0.17784256559766765
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,12.0,0.43603515625,0.3403790087463557,0.06005859375,0.12755102040816327
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,9.0,0.451171875,0.6479591836734694,0.06689453125,0.1552478134110787
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,10.0,0.2587890625,0.3360058309037901,0.05615234375,0.11807580174927114
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,10.0,0.35400390625,0.5597667638483965,0.05908203125,0.1217201166180758
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,6.0,0.27099609375,0.06924198250728864,0.0576171875,0.1260932944606414
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,3.0,0.24462890625,0.6450437317784257,0.068359375,0.15743440233236153
040f2bcba5afce3afafdd5bbf36d2ca5_jpg.rf.6e3358605c2734735af18f31e571692c,2.0,0.7705078125,0.30029154518950435,0.0888671875,0.2055393586005831
